English	Hello
Afrikaans	Goeie dag
Albanian	Tungjatjeta
Arabic	Ahlan bik
Bengali	Nomoskar
Bosnian	Selam
Burmese	Mingala ba
Chinese translation service	Nín hao
Croatian	Zdravo
Czech	Nazdar
Danish	Hallo
Dutch	Hallo
Filipino	Helo
Finnish	Hei
French	Bonjour
German	Guten Tag
Greek	Geia!
Hebrew	Shalóm
Hindi	Namasté
Hungarian	Szia
Indonesian	Hai
Iñupiaq	Kiana
Irish	Dia is muire dhuit
Italian	Buongiorno
Japanese	Kónnichi wa
Korean	Annyeonghaseyo
Lao	Sabai dii
Latin	Ave
Latvian	Es mīlu tevi
Malay	Selamat petang
Mongolian	sain baina uu
Nepali	Namaste
Norwegian	Hallo.
Persian	Salâm
Polish	Witajcie
Portuguese	Olá
Romanian	Salut
Russian	Privét
Samoan	Talofa
Serbian	ćao
Slovak	Nazdar
Slovene	Zdravo
Spanish	Hola
Swahili	Jambo
Swedish	Hej
Tagalog	Halo
Thai	Sàwàtdee kráp
Turkish	Merhaba
Ukrainian	Pryvít
Urdu	Adaab arz hai
Vietnamese	Chào
